what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1255542853203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1255542853203
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1255542853203
java.specification.name,sysinfo,,,"Java Platform API Specification",1255542853203
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255542853203
java.specification.version,sysinfo,,,"1.6",1255542853203
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1255542853203
java.version,sysinfo,,,"1.6.0_14",1255542853203
java.vm.info,sysinfo,,,"mixed mode",1255542853203
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1255542853203
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1255542853203
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255542853203
java.vm.specification.version,sysinfo,,,"1.0",1255542853203
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1255542853203
java.vm.version,sysinfo,,,"14.0-b16",1255542853203
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1255542853645
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1255542853725
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1255542853759
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1255542853955
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1255542853965
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1255542867470
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255543194366
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255543197096
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255543203335
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255543204448
