what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454155917
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454161363
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454166321
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454174363
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454180916
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454183048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454198752
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255454200148
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255454203429
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454205946
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1255454223641
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454223798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454226117
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454230794
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1255454233952
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1255454237404
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1255454237451
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454238308
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1255454239401
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1255454239470
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1255454239506
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1255454239644
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454239872
error,log,,,"Error logged from Debug Core: ",1255454244115
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1255454260135
