what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1255453131714
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1255453132622
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1255453132771
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1255453132850
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1255453138156
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255453138622
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1255453145304
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453147482
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453165702
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1255453168975
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1255453169805
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453176483
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.ui",1255453178188
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.core",1255453178353
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1255453221927
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453222342
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453231850
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1255453277626
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453277779
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453282759
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453284213
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255453284288
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255453292667
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453298348
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1255453334732
