what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454024635
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454025409
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454026283
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454029194
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454031412
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454038815
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255454040528
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255454040734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454042881
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454043915
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454051888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454054768
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454061907
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255454065129
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255454065315
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454085044
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255454088584
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454101098
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255454101656
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454124874
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454126708
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454128142
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454130944
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454140108
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255454144521
