what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455492774
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455502408
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255455502546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455506055
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455506705
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455506811
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455508391
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455564783
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455569277
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455577428
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455581443
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455618381
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455620681
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455622625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455625055
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455667039
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1255455669872
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1255455669872
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455670144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455674225
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455678898
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255455679400
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455721745
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255455723798
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255455725848
