what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453684377
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453685704
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255453687066
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453687799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453688639
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1255453690074
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1255453690886
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255453693636
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453697244
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255453700968
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255453701319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453702018
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453742304
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453744637
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453745749
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453747270
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1255453788573
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453790958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255453795258
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255453795647
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255453803224
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255453818638
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1255453819728
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255453822165
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255453824780
